"translates","word"
"Большая","автомат"
"Железо,Рогатка,Боевуха","огнестрельное оружие"
"Гвозди,Маслята,Патрики,Карандаши,Барабульки,Рыжики,Маслины,Бананы","патроны"
"Холостяк,Холостяки","холостой патрон, патроны"
"Моська,Мося,Мосинка","винтовка Мосина"
"Трёха,Трёхлинейка","русская трехлинейная винтовка"
"Карабаха,Карамультук,Карамультэ","карабин"
"Пряник","дисковый магазин"
"Рожок","рожковый магазин"
"Ствол,Пекаль,Плётка,Маленькая,Волына,Беда,Хлыст","пистолет"
"Эмгач","пулемет MG"
"Збырь","чешский пулемет CZ"
"Раскладушка","станок для пулемёта"
"Улитка,Улита,Кекс","штурмовой магазин к пулемёту MG"
"Эмпэха","немецкий пистолет-пулемет MP"
"Гэха","винтовка, от нем. ""Gewehr"""
"Мак,Макаров","В зависимости от контекста резинострел, пневматический аналог или боевой пистолет ПМ"
"ММГ","массо-габаритный макет. Т.е. оружие, приведённое в состояние, исключающее возможность производства выстрела"
"Демидрольный","патрон с увеличеной, в 2 и более раза, навеской пороха"
"Рог","коробчатый магазин (часто большой емкости)"
"Чок","в огнестрельном гладкоствольном оружии —дульное сужение (или раструб), необходимое для уменьшения или увеличения рассеивания дроби при выстреле"
"Умный,обученный","короткоствольное огнестрельное оружие, переделанное из стартового или сигнального холостого пистолета для возможности стрельбы резиновыми и/или металлическими пулями"
"Размер ума","внутренний диаметр стволика"
"Хачик","оружие производства турецкой фирмы Hatsan (тут зачастую,гладкоствольное)"
"Бинелька","оружие производства итальянской фирмы Benelli"
"Беря","оружие производства итальянской фирмы Beretta"
"КС","короткоствольное огнестрельное оружие. Пистолет, револьвер"
"Галоша","амортизатор (затыльник) на прикладе. Уменьшает отдачу при стрельбе"
"Погон","ружейный ремень"
"Рожок","магазин на 30, 40, 45 патронов"
"Бубен","магазин на 75 патронов, магазин барабанного типа"
"Хрон","прибор для определения скорости пули"
"Косилка,Дедушка,Калаш","автомат Калашникова"
"Сучка,Ксюха,Мухобойка","автомат Калашникова складной укороченный"
"Борода","передняя нижняя часть затвора пистолета Макарова, (необлегченный затвор)"
"Зенитчик","владелец полуавтомата"
"Паяные трубы","двуствольное ружье"
"Весло","длинноствольное ружье с постоянным прикладом"
"Живит (ружье)","нет резкости боя"
"Сеет (ружье)","плохая кучность боя"
"Дует (гильзу)","трудно извлекается стреляная гильза"
"Три гуся","222 статья Уголовного кодекса РФ"
"Горка","взъем в основании ствола, позволяющий подавать патрон из магазина пистолета в патронник ствола в автоматическом режиме"
"Рельсы","небольшие запилы на самодельном стволе пистолета, предназначенные для точной установки к рамке пистолета"
"Трубка","самодельный ствол к огнестрельному оружию"
"Резина","огнестрельное оружие ограниченного поражения (травматический пистолет, стреляющий резиновыми пулями) - огнестрельное оружие"
"Бесшумка,Банка,Глушилка","прибор (приспособление) для бесшумной стрельбы"
"Мелкан,мелкашка","малоколиберная винтовка или пистолет"
"Тромбон","помповое ружье"
"Тромбонист","владелец помпового ружья"
"Сайгак","владелец огнестрельного оружия ""сайги"""
"Тотошка,Тетерев","Пистолет системы Тульский Токарев (ТТ)"
"Макар","пистолет системы Макарова"
"Дура","любое огнестрельное оружие"
"Винт","винтовка"
"Фенька,Эфка,Лимонка,Черепаха,Черепашка","граната Ф-1"
"Яйцо","граната РГД"
"Колотуха,толокуха","немецкая граната М-24"
"Мурка","пневматическая винтовка МР-512"
"Папаша","пистолет-пулемет Шпагина"
"Света","винтовка СВТ"
"Дёготь","ручной пулемет Дегтярева"
"Лапти","снаряды и бомбы крупного калибра"
"Огурец","снаряд небольшого калибра"
"Шпринга","мина, от нем. ""Shpringemine"""
"Тэмэшка,Тмишка,Т-мина","немецкая мина типа TMi"
"Пятачок,Пятак","5 см миномет"
"Морковка","мина к 5 см миномету"
"Накатник","затвор"
"Дымовуха","дымовая граната"
"Мышеловка","противопехотная мина"
"Рвачка","взрывоопасные предметы"
"Взрывак","взрыватель"
"Бетонка,Бетонобомба","немецкая бетонная мина"
"Растяжак","мина-растяжка"
"Обезжиренный (ствол)","холощенное оружие"
"Шайтан-труба","гранатомет"
"Яблочко","ручная граната"